user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
1117822938,2016-05-30 16:30,,0.0,0.0,,#Brexit
891059384,2016-05-30 16:21,,-0.05,0.6,"leftist,liberal morals,yo girl gang,migrants migrants,community service",#Brexit
232908214,2016-05-30 16:14,"Islington, London",0.1,0.55,"brexit,uk,green directives",
239130036,2016-05-30 16:07,,0.25,0.30000000000000004,"forget,real questions",#Brexit #SewingBee
730736334252474368,2016-05-30 16:04,,0.5,0.8888888888888888,post- plan,#Brexit #Leave #Remain
379851447,2016-05-30 16:00,,0.0,0.0,"please,fb",#EU #brexit #referendum #voteleave
2469794059,2016-05-30 15:47,,0.06666666666666667,0.175,"brexit,odd squad newstatesman",#StrongerIn
585604003,2016-05-30 15:40,,0.0,0.0,pragmatic way,#Brexit #VoteLeave #TakeControl
4704367111,2016-05-30 15:39,,0.0,0.0,,#VoteLeave #Brexit
470631179,2016-05-30 15:28,,0.0,0.0,,#Brexit
2401520639,2016-05-30 15:21,,0.0,0.0,vote,#brexit
764728802,2016-05-30 15:13,,0.0,0.0,"france,italy,european union economies,and-italy-next-economic-crash-europe-a7054801.html …",#Brexit
67879486,2016-05-30 15:09,,0.0,0.0,"fight,fear,bullsh*t. …",#LeaveEU #Labour #UKIP #Brexit #Cameron #EUref #VoteIn #StrongerIn #VoteLeave #Tories #EU
16884804,2016-05-30 15:02,,0.0,0.1,"eu referendum,catholic vs,protestant",#Remain #Brexit #EUref
329121956,2016-05-30 14:52,,0.0,0.0,"batting boris,chester-le-street cricket,brexit",
170736896,2016-05-30 14:47,,0.3,0.45,"sensible opinion,young people",#Brexit #EUref
2427708320,2016-05-30 14:43,,-0.5,1.0,"sad,article |,ian birrell",#xenophobic #Brexit
18640261,2016-05-30 14:40,,0.0,0.0,"visit,brexit,albanian,migrant rescue,eighteen albanian,migrants rescu ...",
29810191,2016-05-30 14:32,,-0.2,0.05,"brexit,ca n't,shake-it-all-about",
769726807,2016-05-30 14:25,,0.0,0.0,"icymi,md,brexit,accident victims",
32480615,2016-05-30 14:21,,0.0,0.0,"eu,european council,eu",#Brexit
3136162829,2016-05-30 14:13,,0.1,0.55,"brexit,uk,green directives,minister |,politics,guardian",
3000550486,2016-05-30 14:07,,0.0,0.0,"rt,out,in",#VoteLeave #LeaveEU #Brexit
96731588,2016-05-30 13:55,,0.0,0.0,xation-and-the-uk-financial-sector… pic.twitter,#Brexit #tax #financial #EU
733271962672373761,2016-05-30 13:51,,0.0,0.0,"official song,'should i stay",#EU #referendum #brexit #bremain
1074774114,2016-05-30 13:42,,-0.2,0.3,"brexit,travellers | letters,g eur",
161361680,2016-05-30 13:41,,0.20000000000000004,0.47500000000000003,"brexit,independent broker,activtrades,free online webinar… …",
2690377522,2016-05-30 13:33,,0.16944444444444443,0.4305555555555555,"great news,local farmers …",#Brexit #Somerset
21930401,2016-05-30 13:21,,-0.20000000000000004,0.5666666666666667,"brexit,whole shenanigans,euref,personal grievances",
401302010,2016-05-30 13:16,,0.0,0.0,"case,brexit part,democracy",#Brexit
3245255440,2016-05-30 13:07,,0.0,0.5,joke pic.twitter,#Brexit
41093168,2016-05-30 12:57,,0.0,0.0,"si,grèce,fait faillite,que les anglais votent,brexit l'été va être sympa coté finance",
user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
38027424,2016-05-30 19:48,,0.0,1.0,"growing uneasiness,eu preparing,brexit",
141147000,2016-05-30 19:36,,0.0,0.0,"cameron,tory,immigration |,comment",#Brexit
7587032,2016-05-30 19:28,,0.0,0.0,"front page,... ..idiots",#Brexit
3026650125,2016-05-30 19:25,,0.06818181818181818,0.22727272727272727,"pro brexit duncan smith,eu,british pensioners £400bn",
748414562,2016-05-30 19:16,,-0.1,0.2,"brexit,european round,industrialists,eu,reduc ...",
55086737,2016-05-30 19:08,,0.0,0.0,"uh-oh,... “the birds,habitats directives",#Brexit
3092364868,2016-05-30 18:59,,-0.1,0.4,"goes,uk",#Brexit
2363887313,2016-05-30 18:39,,0.0,0.0,n't need,#Brexit
1251477906,2016-05-30 18:33,,0.26666666666666666,0.5166666666666666,"early brexit,brexit-polls-suggest-people-are-engaged-92671.php …",
34230483,2016-05-30 18:19,"Lower Godney, England",0.5633333333333334,0.9533333333333333,"strong reason,exit please read,share,-why-we-need-to-leave-the-eu …,rt",#Brexit #EU
737385160329560064,2016-05-30 18:11,,0.3571428571428571,0.5357142857142857,"eu,facts",#brexit #VoteLeave #VoteRemain
2791145440,2016-05-30 18:03,,-0.15000000000000002,0.1,remainers,#VoteLeave #Brexit #VoteRemain
102818182,2016-05-30 17:56,,0.0,0.0,"was,manifesto pledge,david cameron,taxpayers money,pro-eu adverts",#EUref #Brexit
256473884,2016-05-30 17:45,,-0.04999999999999999,0.625,"irony,ukip,eu,scotland,uk",#Brexit
303885825,2016-05-30 17:39,,0.0,0.0,"ed,dave,discounting dave,u-turns",#Brexit
27839828,2016-05-30 17:32,,0.0,0.0,"osborne,for brexit",
23021696,2016-05-30 17:25,,-0.12121212121212126,0.39999999999999997,"boris johnson,dismisses treasury,brexit,false 'propaganda,politics",
719939067136385024,2016-05-30 17:19,"Cheltenham, England",0.1,0.4,"please,require proof of voter identity",#Brexit
34637101,2016-05-30 17:12,,0.0,0.0,,#brexit #climatechange #GreenerIN #EUref
2560611382,2016-05-30 17:09,,0.25,0.48333333333333334,"tuesdays telegraph,latest,polls highlight,public concern,eu",#TakeControl #Brexit
9707572,2016-05-30 17:01,,-0.1,0.0,"eu,terrorists dailysquib.co,lse-claims-in-9-million-taxpayer-funded-gov-leaflet-uncovered.html …",#brexit #voteleave #euref #remain #britainout #leaveeu
19685010,2016-05-30 16:55,,-0.15,0.4,"labour,party 's stance,brexit corbyn,invisible man",#EUref
